Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|Q99720|SGMR1_HUMAN,Sigma non-opioid intracellular receptor 1 OS=Homo sapiens OX=9606 GN=SIGMAR1 PE=1 SV=1,SIGMAR1,#N/A,#N/A,4.5561E+4
sp|Q9UHF1|EGFL7_HUMAN,Epidermal growth factor-like protein 7 OS=Homo sapiens OX=9606 GN=EGFL7 PE=1 SV=3,EGFL7,3.8982E+4,4.1710E+4,3.8143E+4
sp|Q9Y2Q5|LTOR2_HUMAN,Ragulator complex protein LAMTOR2 OS=Homo sapiens OX=9606 GN=LAMTOR2 PE=1 SV=1,LAMTOR2,2.1021E+4,1.9302E+4,2.1058E+4
sp|O60268|K0513_HUMAN,Uncharacterized protein KIAA0513 OS=Homo sapiens OX=9606 GN=KIAA0513 PE=1 SV=1,KIAA0513,6.5336E+5,6.3111E+5,6.2251E+5
sp|O75526|RMXL2_HUMAN,"RNA-binding motif protein, X-linked-like-2 OS=Homo sapiens OX=9606 GN=RBMXL2 PE=1 SV=3",RBMXL2,1.7800E+4,1.9008E+4,1.6059E+4
sp|P04070|PROC_HUMAN,Vitamin K-dependent protein C OS=Homo sapiens OX=9606 GN=PROC PE=1 SV=1,PROC,1.2993E+8,1.2549E+8,1.2796E+8
sp|P04180|LCAT_HUMAN,Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens OX=9606 GN=LCAT PE=1 SV=1,LCAT,5.3642E+5,5.5653E+5,5.8263E+5
sp|P05141|ADT2_HUMAN,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,SLC25A5,6.7503E+5,8.3253E+5,8.1062E+5
sp|P07237|PDIA1_HUMAN,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,P4HB,1.5100E+7,1.5170E+7,1.4879E+7
sp|P14854|CX6B1_HUMAN,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2,COX6B1,2.5722E+5,3.0341E+5,2.7293E+5
sp|P24941|CDK2_HUMAN,Cyclin-dependent kinase 2 OS=Homo sapiens OX=9606 GN=CDK2 PE=1 SV=2,CDK2,2.1995E+4,1.3956E+4,1.2631E+4
sp|P61960|UFM1_HUMAN,Ubiquitin-fold modifier 1 OS=Homo sapiens OX=9606 GN=UFM1 PE=1 SV=1,UFM1,9.2313E+4,1.4515E+5,7.2721E+4
sp|Q07021|C1QBP_HUMAN,"Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=C1QBP PE=1 SV=1",C1QBP,7.7816E+4,7.3893E+4,5.9235E+4
sp|Q08752|PPID_HUMAN,Peptidyl-prolyl cis-trans isomerase D OS=Homo sapiens OX=9606 GN=PPID PE=1 SV=3,PPID,3.2828E+5,2.9406E+5,3.3359E+5
sp|Q14232|EI2BA_HUMAN,Translation initiation factor eIF2B subunit alpha OS=Homo sapiens OX=9606 GN=EIF2B1 PE=1 SV=1,EIF2B1,2.4945E+5,1.8216E+5,2.7885E+5
sp|Q15428|SF3A2_HUMAN,Splicing factor 3A subunit 2 OS=Homo sapiens OX=9606 GN=SF3A2 PE=1 SV=2,SF3A2,#N/A,1.5838E+3,#N/A
sp|Q5TFE4|NT5D1_HUMAN,5'-nucleotidase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=NT5DC1 PE=1 SV=1,NT5DC1,3.2209E+4,3.6672E+4,3.7938E+4
sp|Q8TCT8|SPP2A_HUMAN,Signal peptide peptidase-like 2A OS=Homo sapiens OX=9606 GN=SPPL2A PE=1 SV=2,SPPL2A,8.5282E+4,3.9194E+4,5.5718E+4
sp|Q92187|SIA8D_HUMAN,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase OS=Homo sapiens OX=9606 GN=ST8SIA4 PE=1 SV=1",ST8SIA4,3.0508E+5,3.8170E+5,3.3069E+5
sp|Q96B97|SH3K1_HUMAN,SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=2,SH3KBP1,2.3808E+4,4.6471E+4,4.1499E+4
sp|Q96GZ6|S41A3_HUMAN,Solute carrier family 41 member 3 OS=Homo sapiens OX=9606 GN=SLC41A3 PE=1 SV=2,SLC41A3,1.8029E+3,#N/A,2.3662E+3
sp|Q96SJ8|TSN18_HUMAN,Tetraspanin-18 OS=Homo sapiens OX=9606 GN=TSPAN18 PE=1 SV=1,TSPAN18,1.7257E+4,1.6861E+4,1.5785E+4
sp|Q99613|EIF3C_HUMAN / sp|B5ME19|EIFCL_HUMAN,"Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1
Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1",EIF3C / EIF3CL,4.3550E+5,4.9656E+5,5.3165E+5
sp|Q99941|ATF6B_HUMAN,Cyclic AMP-dependent transcription factor ATF-6 beta OS=Homo sapiens OX=9606 GN=ATF6B PE=1 SV=2,ATF6B,1.1486E+4,1.0333E+4,9.9832E+3
sp|Q9BSH5|HDHD3_HUMAN,Haloacid dehalogenase-like hydrolase domain-containing protein 3 OS=Homo sapiens OX=9606 GN=HDHD3 PE=1 SV=1,HDHD3,4.0240E+5,2.7916E+5,2.7920E+5
sp|Q9C0H2|TTYH3_HUMAN,Protein tweety homolog 3 OS=Homo sapiens OX=9606 GN=TTYH3 PE=1 SV=3,TTYH3,2.2606E+5,2.0998E+5,2.1427E+5
sp|Q9UBF6|RBX2_HUMAN,RING-box protein 2 OS=Homo sapiens OX=9606 GN=RNF7 PE=1 SV=1,RNF7,1.7750E+4,2.9528E+4,#N/A
sp|Q9UHQ9|NB5R1_HUMAN,NADH-cytochrome b5 reductase 1 OS=Homo sapiens OX=9606 GN=CYB5R1 PE=1 SV=1,CYB5R1,1.1591E+6,1.2027E+6,1.2333E+6
sp|Q9Y6Q2|STON1_HUMAN,Stonin-1 OS=Homo sapiens OX=9606 GN=STON1 PE=1 SV=2,STON1,9.3571E+4,1.0559E+5,9.5851E+4
tr|A0AAG2UY11|A0AAG2UY11_HUMAN / sp|Q9BYB0|SHAN3_HUMAN,"SH3 and multiple ankyrin repeat domains 3 OS=Homo sapiens OX=9606 GN=SHANK3 PE=4 SV=1
SH3 and multiple ankyrin repeat domains protein 3 OS=Homo sapiens OX=9606 GN=SHANK3 PE=1 SV=3",SHANK3 / SHANK3,4.3078E+3,4.0476E+3,5.1602E+3
sp|O60229|KALRN_HUMAN,Kalirin OS=Homo sapiens OX=9606 GN=KALRN PE=1 SV=3,KALRN,1.7393E+6,1.6709E+6,1.2474E+6
sp|O94941|RNF37_HUMAN,RING finger protein 37 OS=Homo sapiens OX=9606 GN=UBOX5 PE=1 SV=1,UBOX5,7.2877E+3,4.0370E+3,#N/A
sp|O95819|M4K4_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2,MAP4K4,6.1472E+3,1.8410E+4,7.0197E+3
sp|O95831|AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",AIFM1,1.6773E+6,1.8676E+6,1.5291E+6
sp|O95834|EMAL2_HUMAN,Echinoderm microtubule-associated protein-like 2 OS=Homo sapiens OX=9606 GN=EML2 PE=1 SV=1,EML2,1.9483E+6,2.0661E+6,2.1329E+6
sp|P04792|HSPB1_HUMAN,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1,4.2020E+6,4.4981E+6,4.3090E+6
sp|P06865|HEXA_HUMAN,Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2,HEXA,1.5066E+5,1.1794E+5,1.1343E+5
sp|P14406|CX7A2_HUMAN,"Cytochrome c oxidase subunit 7A2, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2 PE=1 SV=1",COX7A2,8.6048E+4,1.0089E+5,8.6767E+4
sp|P22681|CBL_HUMAN,E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=2,CBL,1.9210E+5,2.0122E+5,2.0410E+5
sp|P35625|TIMP3_HUMAN,Metalloproteinase inhibitor 3 OS=Homo sapiens OX=9606 GN=TIMP3 PE=1 SV=2,TIMP3,4.8750E+5,5.1662E+5,5.0913E+5
sp|P49591|SYSC_HUMAN,"Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3",SARS1,6.5469E+5,6.7852E+5,7.1468E+5
sp|P55884|EIF3B_HUMAN,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,EIF3B,5.5194E+5,5.4912E+5,5.5370E+5
sp|Q02108|GCYA1_HUMAN,Guanylate cyclase soluble subunit alpha-1 OS=Homo sapiens OX=9606 GN=GUCY1A1 PE=1 SV=2,GUCY1A1,6.9545E+5,7.2594E+5,7.0079E+5
sp|Q12797|ASPH_HUMAN,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,ASPH,9.3785E+5,8.7957E+5,9.5377E+5
sp|Q12800|TFCP2_HUMAN,Alpha-globin transcription factor CP2 OS=Homo sapiens OX=9606 GN=TFCP2 PE=1 SV=2,TFCP2,4.0635E+4,4.3838E+4,4.1434E+4
sp|Q14166|TTL12_HUMAN,Tubulin--tyrosine ligase-like protein 12 OS=Homo sapiens OX=9606 GN=TTLL12 PE=1 SV=2,TTLL12,5.0915E+5,5.4164E+5,4.8268E+5
sp|Q16134|ETFD_HUMAN,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=ETFDH PE=1 SV=2",ETFDH,9.2416E+4,1.1055E+5,1.0385E+5
sp|Q5VWZ2|LYPL1_HUMAN,Lysophospholipase-like protein 1 OS=Homo sapiens OX=9606 GN=LYPLAL1 PE=1 SV=3,LYPLAL1,2.7555E+5,3.2618E+5,3.1747E+5
sp|Q86TI2|DPP9_HUMAN,Dipeptidyl peptidase 9 OS=Homo sapiens OX=9606 GN=DPP9 PE=1 SV=3,DPP9,9.0617E+4,8.9211E+4,7.8067E+4
sp|Q86UK7|ZN598_HUMAN,E3 ubiquitin-protein ligase ZNF598 OS=Homo sapiens OX=9606 GN=ZNF598 PE=1 SV=1,ZNF598,6.1917E+3,5.4450E+3,4.1738E+3
sp|Q93015|NAA80_HUMAN,N-alpha-acetyltransferase 80 OS=Homo sapiens OX=9606 GN=NAA80 PE=1 SV=2,NAA80,6.1883E+3,1.9999E+3,4.7007E+3
sp|Q9BQE5|APOL2_HUMAN,Apolipoprotein L2 OS=Homo sapiens OX=9606 GN=APOL2 PE=1 SV=2,APOL2,#N/A,#N/A,#N/A
sp|Q9BT40|INP5K_HUMAN,Inositol polyphosphate 5-phosphatase K OS=Homo sapiens OX=9606 GN=INPP5K PE=1 SV=3,INPP5K,7.1508E+4,5.6025E+4,9.3522E+4
sp|Q9BV81|EMC6_HUMAN,ER membrane protein complex subunit 6 OS=Homo sapiens OX=9606 GN=EMC6 PE=1 SV=1,EMC6,2.0019E+4,8.0851E+3,4.2168E+3
sp|Q9BZI7|REN3B_HUMAN,Regulator of nonsense transcripts 3B OS=Homo sapiens OX=9606 GN=UPF3B PE=1 SV=1,UPF3B,5.5563E+3,2.9126E+3,6.7210E+3
sp|Q9H6V9|LDAH_HUMAN,Lipid droplet-associated hydrolase OS=Homo sapiens OX=9606 GN=LDAH PE=1 SV=1,LDAH,1.5547E+5,2.7843E+5,1.3331E+5
sp|Q9NX62|IMPA3_HUMAN,"Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase OS=Homo sapiens OX=9606 GN=BPNT2 PE=1 SV=1",BPNT2,8.4446E+4,9.8390E+4,8.4248E+4
sp|Q9Y281|COF2_HUMAN,Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1,CFL2,2.4048E+4,7.8547E+3,1.4748E+4
sp|Q9Y320|TMX2_HUMAN,Thioredoxin-related transmembrane protein 2 OS=Homo sapiens OX=9606 GN=TMX2 PE=1 SV=1,TMX2,#N/A,8.3744E+3,3.5548E+3
sp|Q9Y4K3|TRAF6_HUMAN,TNF receptor-associated factor 6 OS=Homo sapiens OX=9606 GN=TRAF6 PE=1 SV=1,TRAF6,1.7374E+5,1.7953E+5,1.4212E+5
sp|A0A075B6J6|LV322_HUMAN,Immunoglobulin lambda variable 3-22 OS=Homo sapiens OX=9606 GN=IGLV3-22 PE=1 SV=1,IGLV3-22,#N/A,#N/A,#N/A
sp|O14735|CDIPT_HUMAN,CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,CDIPT,2.2114E+5,2.0065E+5,1.9260E+5
sp|O60262|GBG7_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 OS=Homo sapiens OX=9606 GN=GNG7 PE=1 SV=1,GNG7,4.7022E+3,9.5314E+3,8.8447E+3
sp|O94826|TOM70_HUMAN,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1,TOMM70,3.8266E+5,3.1210E+5,3.6807E+5
sp|P02750|A2GL_HUMAN,Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2,LRG1,2.2113E+5,2.6870E+5,1.9938E+5
sp|P11150|LIPC_HUMAN,Hepatic triacylglycerol lipase OS=Homo sapiens OX=9606 GN=LIPC PE=1 SV=3,LIPC,2.1544E+5,1.4257E+5,1.3697E+5
sp|P13942|COBA2_HUMAN,Collagen alpha-2(XI) chain OS=Homo sapiens OX=9606 GN=COL11A2 PE=1 SV=5,COL11A2,2.0059E+5,1.9204E+5,1.6365E+5
sp|P18124|RL7_HUMAN,Large ribosomal subunit protein uL30 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1,RPL7,1.1501E+4,9.1273E+3,8.7297E+3
sp|P34810|CD68_HUMAN,Macrosialin OS=Homo sapiens OX=9606 GN=CD68 PE=1 SV=2,CD68,6.5060E+4,6.9520E+4,3.7229E+4
sp|P36639|8ODP_HUMAN,Oxidized purine nucleoside triphosphate hydrolase OS=Homo sapiens OX=9606 GN=NUDT1 PE=1 SV=4,NUDT1,3.1278E+4,2.8091E+4,2.8789E+4
sp|P54652|HSP72_HUMAN,Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1,HSPA2,1.5091E+5,1.9506E+5,2.7492E+5
sp|P55809|SCOT1_HUMAN,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=OXCT1 PE=1 SV=1",OXCT1,5.8646E+5,5.4971E+5,5.5838E+5
sp|P80217|IN35_HUMAN,Interferon-induced 35 kDa protein OS=Homo sapiens OX=9606 GN=IFI35 PE=1 SV=5,IFI35,1.3707E+5,1.4000E+5,1.6286E+5
sp|Q15772|SPEG_HUMAN,Striated muscle preferentially expressed protein kinase OS=Homo sapiens OX=9606 GN=SPEG PE=1 SV=4,SPEG,1.8125E+4,1.3987E+4,1.1593E+4
sp|Q5EG05|CAR16_HUMAN,Caspase recruitment domain-containing protein 16 OS=Homo sapiens OX=9606 GN=CARD16 PE=1 SV=1,CARD16,3.6193E+4,3.9380E+4,4.4750E+4
sp|Q6R327|RICTR_HUMAN,Rapamycin-insensitive companion of mTOR OS=Homo sapiens OX=9606 GN=RICTOR PE=1 SV=1,RICTOR,7.3404E+3,1.2304E+4,8.4985E+3
sp|Q86YC3|LRC33_HUMAN,Transforming growth factor beta activator LRRC33 OS=Homo sapiens OX=9606 GN=NRROS PE=1 SV=1,NRROS,6.3291E+3,1.3972E+4,2.5250E+4
sp|Q8IZH2|XRN1_HUMAN,5'-3' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1,XRN1,1.4026E+5,1.3982E+5,1.5121E+5
sp|Q8N2G8|GHDC_HUMAN,GH3 domain-containing protein OS=Homo sapiens OX=9606 GN=GHDC PE=1 SV=2,GHDC,1.9902E+5,1.7832E+5,2.0010E+5
sp|Q96C24|SYTL4_HUMAN,Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,SYTL4,4.9914E+6,4.8883E+6,4.7110E+6
sp|Q96EK6|GNA1_HUMAN,Glucosamine 6-phosphate N-acetyltransferase OS=Homo sapiens OX=9606 GN=GNPNAT1 PE=1 SV=1,GNPNAT1,4.7868E+4,1.5903E+4,4.4402E+4
sp|Q96FS4|SIPA1_HUMAN,Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1,SIPA1,6.3264E+4,9.3329E+4,4.6675E+4
sp|Q96FW1|OTUB1_HUMAN,Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2,OTUB1,2.4359E+5,2.5346E+5,2.2048E+5
sp|Q96Q11|TRNT1_HUMAN,"CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TRNT1 PE=1 SV=2",TRNT1,1.0740E+5,9.2739E+4,6.3329E+4
sp|Q99685|MGLL_HUMAN,Monoglyceride lipase OS=Homo sapiens OX=9606 GN=MGLL PE=1 SV=2,MGLL,3.2897E+6,3.5199E+6,3.1868E+6
sp|Q9BRP8|PYM1_HUMAN,Partner of Y14 and mago OS=Homo sapiens OX=9606 GN=PYM1 PE=1 SV=1,PYM1,6.8482E+4,6.0641E+4,5.6119E+4
sp|Q9NZ53|PDXL2_HUMAN,Podocalyxin-like protein 2 OS=Homo sapiens OX=9606 GN=PODXL2 PE=1 SV=1,PODXL2,2.0920E+4,1.6457E+4,1.6719E+4
sp|Q9UHD1|CHRD1_HUMAN,Cysteine and histidine-rich domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CHORDC1 PE=1 SV=2,CHORDC1,2.1704E+5,1.4185E+5,1.4112E+5
sp|Q9UN70|PCDGK_HUMAN,Protocadherin gamma-C3 OS=Homo sapiens OX=9606 GN=PCDHGC3 PE=1 SV=1,PCDHGC3,1.1182E+5,1.1510E+5,1.3632E+5
sp|O43175|SERA_HUMAN,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,PHGDH,1.4217E+5,1.4194E+5,1.0239E+5
sp|O60462|NRP2_HUMAN,Neuropilin-2 OS=Homo sapiens OX=9606 GN=NRP2 PE=1 SV=3,NRP2,3.9574E+6,4.0768E+6,3.9897E+6
sp|O95373|IPO7_HUMAN,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,IPO7,5.7442E+5,5.4345E+5,4.9255E+5
sp|O95497|VNN1_HUMAN,Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2,VNN1,1.3105E+5,1.6139E+5,1.4112E+5
sp|P15311|EZRI_HUMAN,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,EZR,9.3215E+4,9.3770E+4,7.8224E+4
sp|P28799|GRN_HUMAN,Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2,GRN,1.2138E+5,1.2401E+5,1.3503E+5
sp|P39656|OST48_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4,DDOST,1.1886E+6,1.2185E+6,1.2135E+6
sp|P41222|PTGDS_HUMAN,Prostaglandin-H2 D-isomerase OS=Homo sapiens OX=9606 GN=PTGDS PE=1 SV=1,PTGDS,4.6768E+5,4.9570E+5,5.2116E+5
sp|Q0VD83|APOBR_HUMAN,Apolipoprotein B receptor OS=Homo sapiens OX=9606 GN=APOBR PE=1 SV=3,APOBR,7.2333E+5,1.0069E+6,1.0082E+6
sp|Q13085|ACACA_HUMAN,Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2,ACACA,2.1469E+4,1.5418E+4,3.2484E+4
sp|Q14558|KPRA_HUMAN,Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Homo sapiens OX=9606 GN=PRPSAP1 PE=1 SV=2,PRPSAP1,#N/A,2.2811E+4,2.2338E+4
sp|Q15942|ZYX_HUMAN,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,ZYX,5.5482E+7,5.9250E+7,5.7864E+7
sp|Q8IWE4|DCNL3_HUMAN,DCN1-like protein 3 OS=Homo sapiens OX=9606 GN=DCUN1D3 PE=1 SV=1,DCUN1D3,4.6627E+3,3.7118E+3,3.3953E+3
sp|Q8IXQ6|PARP9_HUMAN,Protein mono-ADP-ribosyltransferase PARP9 OS=Homo sapiens OX=9606 GN=PARP9 PE=1 SV=2,PARP9,1.1303E+5,1.3644E+5,1.3245E+5
sp|Q9BX63|FANCJ_HUMAN,Fanconi anemia group J protein OS=Homo sapiens OX=9606 GN=BRIP1 PE=1 SV=2,BRIP1,4.8358E+3,5.5888E+3,4.2774E+3
sp|Q9BZR6|RTN4R_HUMAN,Reticulon-4 receptor OS=Homo sapiens OX=9606 GN=RTN4R PE=1 SV=1,RTN4R,6.9151E+3,1.2495E+4,1.2185E+4
sp|Q9GZP8|IMUP_HUMAN,Immortalization up-regulated protein OS=Homo sapiens OX=9606 GN=IMUP PE=1 SV=1,IMUP,3.3160E+4,3.7500E+4,4.9129E+4
sp|Q9H479|FN3K_HUMAN,Fructosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3K PE=1 SV=1,FN3K,2.4357E+6,2.2700E+6,2.4280E+6
sp|Q9NRG0|CHRC1_HUMAN,Chromatin accessibility complex protein 1 OS=Homo sapiens OX=9606 GN=CHRAC1 PE=1 SV=1,CHRAC1,#N/A,8.9522E+3,2.0650E+4
sp|Q9NSD9|SYFB_HUMAN,Phenylalanine--tRNA ligase beta subunit OS=Homo sapiens OX=9606 GN=FARSB PE=1 SV=3,FARSB,3.5090E+5,3.5251E+5,3.7480E+5
sp|Q9UQP3|TENN_HUMAN,Tenascin-N OS=Homo sapiens OX=9606 GN=TNN PE=1 SV=2,TNN,7.3005E+4,8.7323E+4,5.7524E+4
sp|O43312|MTSS1_HUMAN,Protein MTSS 1 OS=Homo sapiens OX=9606 GN=MTSS1 PE=1 SV=2,MTSS1,6.8882E+5,1.0376E+6,7.8718E+5
sp|O43324|MCA3_HUMAN,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1,EEF1E1,1.0602E+5,1.3758E+5,1.0832E+5
sp|O95168|NDUB4_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3,NDUFB4,3.2531E+5,2.9490E+5,2.7148E+5
sp|P06737|PYGL_HUMAN,"Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4",PYGL,1.4991E+6,1.5333E+6,1.4891E+6
sp|P08253|MMP2_HUMAN,72 kDa type IV collagenase OS=Homo sapiens OX=9606 GN=MMP2 PE=1 SV=2,MMP2,1.1221E+4,1.1342E+4,4.9254E+3
sp|P0DJI8|SAA1_HUMAN,Serum amyloid A-1 protein OS=Homo sapiens OX=9606 GN=SAA1 PE=1 SV=2,SAA1,2.7802E+5,2.4489E+5,2.2071E+5
sp|P10915|HPLN1_HUMAN,Hyaluronan and proteoglycan link protein 1 OS=Homo sapiens OX=9606 GN=HAPLN1 PE=1 SV=2,HAPLN1,1.3549E+4,1.3077E+4,1.1688E+4
sp|P16452|EPB42_HUMAN,Protein 4.2 OS=Homo sapiens OX=9606 GN=EPB42 PE=1 SV=3,EPB42,3.2011E+5,4.1762E+5,3.5304E+5
sp|P17181|INAR1_HUMAN,Interferon alpha/beta receptor 1 OS=Homo sapiens OX=9606 GN=IFNAR1 PE=1 SV=3,IFNAR1,#N/A,#N/A,2.4822E+3
sp|P19525|E2AK2_HUMAN,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2",EIF2AK2,1.0700E+5,8.0672E+4,1.0172E+5
sp|P22102|PUR2_HUMAN,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,GART,9.5477E+5,9.8940E+5,9.8069E+5
sp|P27708|PYR1_HUMAN,Multifunctional protein CAD OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3,CAD,1.1232E+6,1.0915E+6,1.1233E+6
sp|P35914|HMGCL_HUMAN,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCL PE=1 SV=2",HMGCL,7.6889E+5,7.2112E+5,7.5778E+5
sp|P51798|CLCN7_HUMAN,H(+)/Cl(-) exchange transporter 7 OS=Homo sapiens OX=9606 GN=CLCN7 PE=1 SV=2,CLCN7,2.6616E+4,2.1004E+4,2.2755E+4
sp|P55056|APOC4_HUMAN,Apolipoprotein C-IV OS=Homo sapiens OX=9606 GN=APOC4 PE=1 SV=1,APOC4,1.2057E+6,1.2276E+6,1.1118E+6
sp|Q12907|LMAN2_HUMAN,Vesicular integral-membrane protein VIP36 OS=Homo sapiens OX=9606 GN=LMAN2 PE=1 SV=1,LMAN2,1.6003E+6,1.7195E+6,2.1911E+6
sp|Q15018|ABRX2_HUMAN,BRISC complex subunit Abraxas 2 OS=Homo sapiens OX=9606 GN=ABRAXAS2 PE=1 SV=2,ABRAXAS2,3.1310E+5,3.3046E+5,3.1972E+5
sp|Q8IZ83|A16A1_HUMAN,Aldehyde dehydrogenase family 16 member A1 OS=Homo sapiens OX=9606 GN=ALDH16A1 PE=1 SV=2,ALDH16A1,1.7126E+6,1.7445E+6,1.6340E+6
sp|Q8N4T8|CBR4_HUMAN,3-oxoacyl-[acyl-carrier-protein] reductase OS=Homo sapiens OX=9606 GN=CBR4 PE=1 SV=3,CBR4,9.3934E+4,8.2920E+4,6.8021E+4
sp|Q8NDA2|HMCN2_HUMAN,Hemicentin-2 OS=Homo sapiens OX=9606 GN=HMCN2 PE=1 SV=4,HMCN2,#N/A,#N/A,#N/A
sp|Q8TF66|LRC15_HUMAN,Leucine-rich repeat-containing protein 15 OS=Homo sapiens OX=9606 GN=LRRC15 PE=1 SV=2,LRRC15,8.5408E+4,7.6966E+4,7.8195E+4
sp|Q96PM5|ZN363_HUMAN,RING finger and CHY zinc finger domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCHY1 PE=1 SV=1,RCHY1,1.0465E+5,1.0687E+5,8.8857E+4
sp|Q9NY33|DPP3_HUMAN,Dipeptidyl peptidase 3 OS=Homo sapiens OX=9606 GN=DPP3 PE=1 SV=2,DPP3,6.4290E+5,6.2364E+5,6.3986E+5
sp|Q9Y2Z0|SGT1_HUMAN,Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,SUGT1,2.2114E+5,2.4818E+5,3.5212E+5
sp|Q9Y3E0|GOT1B_HUMAN,Vesicle transport protein GOT1B OS=Homo sapiens OX=9606 GN=GOLT1B PE=1 SV=1,GOLT1B,1.3258E+5,1.3655E+5,1.2151E+5
