Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|P35030|TRY3_HUMAN,Trypsin-3 OS=Homo sapiens OX=9606 GN=PRSS3 PE=1 SV=2,PRSS3,1.6367E+4,2.5347E+4,2.6366E+4,3.1378E+4,2.8156E+4,3.5839E+4,5.4999E+4,4.5224E+4,4.7996E+4,3.5029E+4,2.3090E+4,3.1296E+4,6.7463E+3,5.7879E+3,1.0599E+4,1.0415E+4,1.1205E+4,#N/A,#N/A,6.9850E+3,1.4137E+4,7.8738E+3,#N/A,8.0851E+3,1.1366E+4,#N/A,#N/A,#N/A,9.9240E+3,9.0944E+3,1.1950E+4,#N/A,#N/A,1.3090E+4,8.3824E+3,5.0712E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P45877|PPIC_HUMAN,Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens OX=9606 GN=PPIC PE=1 SV=1,PPIC,1.7927E+4,1.4912E+4,1.1292E+4,8.6087E+3,8.9394E+3,8.7777E+3,1.0843E+4,5.9079E+3,5.6103E+3,4.9184E+3,4.4907E+3,3.0290E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q10472|GALT1_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 1 OS=Homo sapiens OX=9606 GN=GALNT1 PE=1 SV=1,GALNT1,5.8796E+4,4.5879E+4,5.6104E+4,4.8062E+4,3.8995E+4,3.6315E+4,3.9143E+4,2.1274E+4,2.7423E+4,3.0678E+4,8.5798E+3,1.4092E+4,3.0707E+3,#N/A,#N/A,#N/A,2.9156E+3,#N/A,#N/A,#N/A,3.8026E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q12981|SEC20_HUMAN,Vesicle transport protein SEC20 OS=Homo sapiens OX=9606 GN=BNIP1 PE=1 SV=3,BNIP1,1.0552E+5,9.5105E+4,1.1474E+5,1.2910E+5,6.4329E+4,8.7519E+4,7.9431E+4,4.3152E+4,5.1127E+4,2.3087E+4,2.9401E+4,4.7869E+4,#N/A,5.0033E+3,5.5449E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q5VWC8|HACD4_HUMAN,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4 OS=Homo sapiens OX=9606 GN=HACD4 PE=1 SV=1,HACD4,3.5990E+5,3.0784E+5,2.5818E+5,2.8566E+5,2.0859E+5,1.9328E+5,1.8972E+5,1.4112E+5,1.3492E+5,1.1409E+5,9.1300E+4,6.6236E+4,4.5441E+4,3.6442E+4,2.9509E+4,2.2499E+4,1.7203E+4,5.4291E+3,1.7659E+4,4.0537E+3,2.5789E+3,#N/A,8.1649E+2,8.4569E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q6P9F0|CCD62_HUMAN,Coiled-coil domain-containing protein 62 OS=Homo sapiens OX=9606 GN=CCDC62 PE=1 SV=2,CCDC62,#N/A,#N/A,#N/A,#N/A,3.6680E+3,#N/A,1.2276E+4,7.9769E+3,#N/A,1.2158E+4,#N/A,8.0390E+3,1.3953E+4,1.3224E+4,8.4651E+3,1.4317E+4,1.0806E+4,1.3796E+4,#N/A,1.2208E+4,1.1485E+4,#N/A,#N/A,1.4963E+4,1.6450E+4,#N/A,#N/A,#N/A,1.5375E+4,7.9968E+3,1.3899E+4,#N/A,#N/A,#N/A,1.4110E+4,#N/A,#N/A,#N/A,1.0040E+4,#N/A,8.9468E+3,#N/A
sp|Q8N335|GPD1L_HUMAN,Glycerol-3-phosphate dehydrogenase 1-like protein OS=Homo sapiens OX=9606 GN=GPD1L PE=1 SV=1,GPD1L,1.1795E+5,9.7346E+4,1.2282E+5,1.0220E+5,7.4000E+4,5.4910E+4,7.1680E+4,5.6783E+4,4.5275E+4,2.2715E+4,3.2510E+4,1.4485E+4,3.2989E+3,9.3185E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.3920E+3,#N/A,1.7195E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8NE28|STKL1_HUMAN,Serine/threonine kinase-like domain-containing protein STKLD1 OS=Homo sapiens OX=9606 GN=STKLD1 PE=1 SV=5,STKLD1,3.0171E+4,2.7021E+4,3.2375E+4,2.9535E+4,2.3077E+4,2.1852E+4,1.7372E+4,1.7980E+4,1.5224E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92954|PRG4_HUMAN,Proteoglycan 4 OS=Homo sapiens OX=9606 GN=PRG4 PE=1 SV=3,PRG4,4.1297E+6,3.8312E+6,3.4874E+6,3.3677E+6,2.6275E+6,2.5582E+6,2.5156E+6,2.0313E+6,1.8957E+6,1.3164E+6,1.2164E+6,1.2120E+6,4.1696E+5,2.8188E+5,3.2151E+5,1.7097E+5,2.1035E+5,1.5385E+5,9.0734E+4,9.0352E+4,8.4420E+4,6.4612E+4,4.1106E+4,4.3709E+4,5.2963E+3,#N/A,#N/A,#N/A,5.4322E+3,2.0573E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96CM8|ACSF2_HUMAN,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial OS=Homo sapiens OX=9606 GN=ACSF2 PE=1 SV=2",ACSF2,2.0395E+5,1.5463E+5,1.8964E+5,1.4801E+5,1.0347E+5,1.1911E+5,1.4105E+5,1.0702E+5,1.0605E+5,4.2623E+4,8.2795E+4,1.3756E+5,#N/A,3.8364E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96QR8|PURB_HUMAN,Transcriptional regulator protein Pur-beta OS=Homo sapiens OX=9606 GN=PURB PE=1 SV=3,PURB,2.0913E+5,1.6385E+5,1.8538E+5,1.6457E+5,1.3801E+5,1.3504E+5,1.3812E+5,1.1051E+5,9.6850E+4,8.7345E+4,7.2078E+4,7.3573E+4,1.9352E+3,7.7985E+3,1.8162E+3,1.1445E+4,1.6762E+4,8.1867E+3,5.4657E+3,#N/A,#N/A,#N/A,2.9823E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96SM3|CPXM1_HUMAN,Probable carboxypeptidase X1 OS=Homo sapiens OX=9606 GN=CPXM1 PE=1 SV=2,CPXM1,1.6518E+5,9.3140E+4,1.0047E+5,8.3633E+4,9.9508E+4,1.0771E+5,8.1101E+4,4.3864E+4,2.2226E+4,1.7639E+4,#N/A,6.2109E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.8839E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q99542|MMP19_HUMAN,Matrix metalloproteinase-19 OS=Homo sapiens OX=9606 GN=MMP19 PE=1 SV=1,MMP19,9.1672E+5,7.8871E+5,7.5348E+5,7.6118E+5,5.7551E+5,5.7923E+5,5.5284E+5,4.4905E+5,4.0453E+5,2.9953E+5,2.5942E+5,2.5737E+5,7.3051E+4,5.7586E+4,6.6803E+4,6.0520E+4,4.8836E+4,4.3145E+4,3.7895E+4,3.3138E+4,3.3797E+4,2.1639E+4,#N/A,2.1099E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BQB6|VKOR1_HUMAN,Vitamin K epoxide reductase complex subunit 1 OS=Homo sapiens OX=9606 GN=VKORC1 PE=1 SV=1,VKORC1,5.7449E+4,5.7258E+4,5.0394E+4,4.2521E+4,4.5408E+4,3.1581E+4,3.7327E+4,3.4011E+4,2.8214E+4,1.5931E+4,1.6043E+4,2.4109E+4,#N/A,8.2633E+3,#N/A,#N/A,#N/A,1.1497E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BUR5|MIC26_HUMAN,MICOS complex subunit MIC26 OS=Homo sapiens OX=9606 GN=APOO PE=1 SV=1,APOO,6.0961E+4,4.9588E+4,5.5851E+4,4.9163E+4,3.6268E+4,3.8126E+4,2.4203E+4,3.7730E+4,2.9738E+4,3.3718E+4,4.5710E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9H1B5|XYLT2_HUMAN,Xylosyltransferase 2 OS=Homo sapiens OX=9606 GN=XYLT2 PE=1 SV=2,XYLT2,5.6749E+5,5.1847E+5,4.1796E+5,4.4831E+5,3.8005E+5,3.2997E+5,2.2694E+5,2.1638E+5,1.8464E+5,1.3725E+5,1.6060E+5,1.1538E+5,3.5878E+4,2.8415E+4,2.7639E+4,1.8400E+4,1.6447E+4,7.5689E+3,3.5019E+3,6.4138E+3,5.3123E+3,#N/A,3.7551E+3,#N/A,#N/A,1.5583E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9HA64|KT3K_HUMAN,Ketosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3KRP PE=1 SV=2,FN3KRP,2.2638E+5,2.0450E+5,1.9608E+5,1.7973E+5,1.2180E+5,1.2263E+5,1.2133E+5,7.6327E+4,7.8027E+4,6.2281E+4,5.8220E+4,5.3157E+4,4.9945E+3,9.5296E+3,6.6805E+3,1.5444E+4,1.8988E+3,2.2597E+3,#N/A,1.1488E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9UBS9|SUCO_HUMAN,SUN domain-containing ossification factor OS=Homo sapiens OX=9606 GN=SUCO PE=1 SV=1,SUCO,2.4612E+4,1.9113E+4,4.1534E+3,2.1831E+4,2.0752E+4,1.5053E+3,1.8625E+3,2.4737E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.1198E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9Y210|TRPC6_HUMAN,Short transient receptor potential channel 6 OS=Homo sapiens OX=9606 GN=TRPC6 PE=1 SV=1,TRPC6,4.7823E+5,6.1489E+5,5.2694E+5,4.2131E+5,4.1715E+5,4.1028E+5,3.6152E+5,3.3707E+5,3.0294E+5,2.1109E+5,1.8526E+5,1.3866E+5,1.0793E+5,3.5407E+4,2.4711E+4,1.0959E+4,6.3989E+4,1.6155E+4,2.7510E+4,4.6555E+3,5.1356E+3,3.1378E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|A0A087WSZ0|KVD08_HUMAN,Immunoglobulin kappa variable 1D-8 OS=Homo sapiens OX=9606 GN=IGKV1D-8 PE=1 SV=6,IGKV1D-8,7.7078E+4,6.1826E+4,5.8405E+4,5.3211E+4,4.3346E+4,4.1401E+4,4.4677E+4,3.5392E+4,2.8151E+4,2.6726E+4,2.2865E+4,9.8900E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O15144|ARPC2_HUMAN,Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens OX=9606 GN=ARPC2 PE=1 SV=1,ARPC2,2.9770E+6,3.8307E+6,2.5418E+6,2.5183E+6,2.5468E+6,1.7754E+6,1.5028E+6,1.2287E+6,1.1691E+6,1.0409E+6,8.0002E+5,7.1111E+5,3.5700E+5,3.7757E+5,3.2857E+5,2.4976E+5,2.8320E+5,2.1390E+5,1.4369E+5,1.7003E+5,1.6473E+5,1.0278E+5,1.1976E+5,5.9941E+4,2.5441E+4,2.9654E+4,5.4470E+4,#N/A,1.3534E+4,#N/A,4.9156E+4,6.7187E+4,1.8468E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O15194|CTDSL_HUMAN,CTD small phosphatase-like protein OS=Homo sapiens OX=9606 GN=CTDSPL PE=1 SV=2,CTDSPL,2.6010E+5,2.3111E+5,2.0309E+5,2.1659E+5,1.5286E+5,1.6782E+5,1.6023E+5,1.3441E+5,1.2560E+5,8.3191E+4,5.3168E+4,7.3089E+4,1.9868E+4,1.4994E+4,1.8583E+4,7.3255E+3,6.4259E+3,3.2482E+3,7.4217E+3,5.7198E+3,4.9874E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|O94905|ERLN2_HUMAN,Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1,ERLIN2,2.7050E+5,2.1604E+5,2.3342E+5,2.2825E+5,1.7953E+5,1.4250E+5,1.3607E+5,1.0900E+5,1.0918E+5,8.8877E+4,8.3560E+4,5.1786E+4,3.7504E+4,1.4255E+4,1.7460E+4,1.8555E+4,1.1932E+4,7.1732E+3,6.3263E+3,4.1019E+3,5.2039E+3,8.0382E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P25445|TNR6_HUMAN,Tumor necrosis factor receptor superfamily member 6 OS=Homo sapiens OX=9606 GN=FAS PE=1 SV=1,FAS,5.3374E+3,#N/A,1.9631E+3,3.0104E+3,1.7758E+3,2.8817E+3,1.6618E+3,#N/A,1.3518E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q07954|LRP1_HUMAN,Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2,LRP1,3.6031E+7,3.2069E+7,3.0872E+7,2.8809E+7,2.3705E+7,2.3288E+7,2.2350E+7,1.8162E+7,1.7364E+7,1.4296E+7,1.2382E+7,1.1690E+7,6.7073E+6,5.7798E+6,4.8662E+6,5.9245E+6,4.7606E+6,4.1325E+6,3.7721E+6,3.7302E+6,3.4383E+6,3.0023E+6,2.8443E+6,2.6692E+6,1.4941E+6,1.1314E+6,1.0992E+6,1.8275E+6,1.2313E+6,1.0842E+6,1.4127E+6,8.1570E+5,8.0447E+5,1.1216E+6,8.3273E+5,7.3283E+5,1.0115E+6,7.7113E+5,6.4326E+5,1.0357E+6,8.6271E+5,7.0673E+5
sp|Q14344|GNA13_HUMAN,Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens OX=9606 GN=GNA13 PE=1 SV=2,GNA13,1.3628E+6,1.1296E+6,9.9908E+5,8.9856E+5,8.4877E+5,6.9717E+5,8.1718E+5,5.8821E+5,4.9765E+5,5.5198E+5,3.7947E+5,4.1754E+5,1.0979E+5,2.1465E+5,1.2674E+5,9.6940E+4,2.6557E+5,4.0891E+4,6.9710E+4,1.1240E+5,5.9796E+4,3.0285E+4,2.4204E+4,1.1641E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q14CX7|NAA25_HUMAN,"N-alpha-acetyltransferase 25, NatB auxiliary subunit OS=Homo sapiens OX=9606 GN=NAA25 PE=1 SV=1",NAA25,7.0332E+3,4.2908E+3,5.9602E+3,3.6662E+3,3.4984E+3,#N/A,4.8638E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15121|PEA15_HUMAN,Astrocytic phosphoprotein PEA-15 OS=Homo sapiens OX=9606 GN=PEA15 PE=1 SV=2,PEA15,1.3849E+5,1.5268E+5,1.1671E+5,1.4375E+5,9.7181E+4,8.0156E+4,6.2134E+4,5.6284E+4,5.6291E+4,3.6473E+4,6.7055E+4,9.4504E+4,1.8158E+4,#N/A,4.2904E+3,4.5151E+3,#N/A,#N/A,1.1209E+4,#N/A,2.1035E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q53QZ3|RHG15_HUMAN,Rho GTPase-activating protein 15 OS=Homo sapiens OX=9606 GN=ARHGAP15 PE=1 SV=2,ARHGAP15,2.1188E+5,1.2726E+5,1.0721E+5,4.4996E+4,6.3219E+4,5.5845E+4,9.8901E+4,5.9640E+4,2.4468E+4,3.5552E+4,4.2817E+4,1.7787E+4,#N/A,1.0455E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q6ZRY4|RBPS2_HUMAN,RNA-binding protein with multiple splicing 2 OS=Homo sapiens OX=9606 GN=RBPMS2 PE=1 SV=1,RBPMS2,1.4594E+5,1.3573E+5,1.2783E+5,1.2724E+5,1.0276E+5,7.1709E+4,7.8345E+4,7.5028E+4,7.8656E+4,4.9519E+4,2.9021E+4,3.3643E+4,2.9786E+3,5.6465E+3,#N/A,#N/A,7.4976E+3,4.1094E+3,#N/A,#N/A,#N/A,4.1297E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.2846E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q8TEX9|IPO4_HUMAN,Importin-4 OS=Homo sapiens OX=9606 GN=IPO4 PE=1 SV=2,IPO4,6.4711E+4,9.0958E+4,5.0944E+4,5.7589E+4,5.6087E+4,4.6279E+4,3.1793E+4,2.7630E+4,5.7328E+3,1.7898E+4,6.8447E+3,8.8301E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q92504|S39A7_HUMAN,Zinc transporter SLC39A7 OS=Homo sapiens OX=9606 GN=SLC39A7 PE=1 SV=2,SLC39A7,2.7343E+4,2.1992E+4,1.2224E+4,1.4145E+4,1.3591E+4,8.7205E+3,7.3276E+3,8.5805E+3,7.0848E+3,5.3542E+3,5.4303E+3,6.6973E+3,4.5136E+3,2.5059E+3,#N/A,#N/A,#N/A,#N/A,9.7561E+2,2.8146E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q96QE2|MYCT_HUMAN,Proton myo-inositol cotransporter OS=Homo sapiens OX=9606 GN=SLC2A13 PE=1 SV=3,SLC2A13,9.7228E+3,6.5171E+3,5.9649E+3,1.9994E+5,4.8608E+4,3.0870E+4,2.2413E+5,1.9164E+4,1.1849E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BQP7|MGME1_HUMAN,Mitochondrial genome maintenance exonuclease 1 OS=Homo sapiens OX=9606 GN=MGME1 PE=1 SV=1,MGME1,#N/A,2.1679E+3,1.8738E+3,2.5297E+3,1.8709E+3,#N/A,#N/A,#N/A,1.4611E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BRA2|TXD17_HUMAN,Thioredoxin domain-containing protein 17 OS=Homo sapiens OX=9606 GN=TXNDC17 PE=1 SV=1,TXNDC17,3.0939E+5,2.9767E+5,2.8613E+5,2.7770E+5,2.2881E+5,2.1234E+5,2.0580E+5,1.7114E+5,1.6403E+5,1.2203E+5,1.1513E+5,9.9154E+4,5.7682E+4,3.6638E+4,3.4815E+4,2.0192E+4,1.7679E+4,3.6442E+4,1.7764E+4,1.3939E+4,1.0992E+4,8.0505E+3,9.3323E+3,7.0011E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9BZJ4|S2539_HUMAN,Mitochondrial glutathione transporter SLC25A39 OS=Homo sapiens OX=9606 GN=SLC25A39 PE=1 SV=2,SLC25A39,6.3704E+3,4.6886E+3,#N/A,1.2019E+4,#N/A,7.2682E+3,#N/A,#N/A,6.3165E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9HA77|SYCM_HUMAN,"Probable cysteine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=CARS2 PE=1 SV=1",CARS2,3.6401E+5,3.0456E+5,3.3436E+5,3.2201E+5,2.4778E+5,2.2122E+5,1.9564E+5,1.5654E+5,1.7137E+5,7.7159E+4,1.0461E+5,8.9663E+4,2.0437E+4,6.2104E+3,2.1344E+4,9.6775E+3,#N/A,#N/A,#N/A,#N/A,5.3997E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q9NUJ1|ABHDA_HUMAN,"Palmitoyl-protein thioesterase ABHD10, mitochondrial OS=Homo sapiens OX=9606 GN=ABHD10 PE=1 SV=1",ABHD10,3.3283E+5,3.2045E+5,2.6805E+5,3.0211E+5,2.1510E+5,2.2528E+5,1.9433E+5,1.5105E+5,1.3202E+5,1.2596E+5,9.9406E+4,8.1853E+4,3.0570E+4,1.6017E+4,2.0768E+4,1.6570E+4,1.5045E+3,1.1376E+4,1.9763E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
